127.0.0.1 - - [05/Apr/2016:23:05:43 +0200] "GET / HTTP/1.1" 404 1004
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:05:59 +0200] "GET /meneamedc HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/ HTTP/1.1" 200 10730
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 200 2297
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/css/lista-noticias.css HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 200 2809
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 200 3979
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 200 305
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 200 3981
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 200 894
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:02 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 200 5222
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:04 +0200] "GET /meneamedc/LoginServlet HTTP/1.1" 200 3771
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:04 +0200] "GET /meneamedc/css/login.css HTTP/1.1" 200 868
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:04 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 200 3990
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:08 +0200] "POST /meneamedc/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:08 +0200] "GET /meneamedc/auth/Perfil?id=2 HTTP/1.1" 200 4234
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:08 +0200] "GET /meneamedc/css/ver-perfil.css HTTP/1.1" 200 757
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:08 +0200] "GET /meneamedc/img/pic-test.jpeg HTTP/1.1" 200 532944
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:08 +0200] "GET /meneamedc/img/logout.png HTTP/1.1" 200 3064
0:0:0:0:0:0:0:1 - - [05/Apr/2016:23:06:11 +0200] "GET /meneamedc/auth/Perfil?id=2 HTTP/1.1" 200 4234
