0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/css/base.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/elef.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/door.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/fb.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/menu.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/logo-top.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/tw.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/news.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:01 +0200] "GET /meneamedc/img/logo-bottom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:05 +0200] "POST /meneamedc/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:05 +0200] "GET /meneamedc/auth/Perfil?id=8 HTTP/1.1" 200 4742
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:07 +0200] "GET /meneamedc/auth/MisNoticias HTTP/1.1" 200 4602
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:12 +0200] "GET /meneamedc/auth/CrearNoticia HTTP/1.1" 200 6430
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:41 +0200] "POST /meneamedc/auth/CrearNoticia HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:41 +0200] "GET /meneamedc/Noticias HTTP/1.1" 200 11574
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:44 +0200] "GET /meneamedc/auth/MisNoticias HTTP/1.1" 200 7192
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:46 +0200] "GET /meneamedc/auth/EditarNoticia?id=24 HTTP/1.1" 200 6530
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:53 +0200] "GET /meneamedc/auth/EditarNoticia?id=0 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/May/2016:10:50:53 +0200] "GET /meneamedc/Noticias HTTP/1.1" 200 11574
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:06 +0200] "GET /meneamedc/auth/EditarNoticia?id=100 HTTP/1.1" 500 1715
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:07 +0200] "GET /favicon.ico HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:46 +0200] "GET /meneamedc/pages/index.html HTTP/1.1" 200 4615
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:46 +0200] "GET /meneamedc/js/angular/angular.js HTTP/1.1" 200 1141759
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:46 +0200] "GET /meneamedc/js/angular/angular-route.js HTTP/1.1" 200 37889
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:46 +0200] "GET /meneamedc/js/app.js HTTP/1.1" 200 9906
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:47 +0200] "GET /meneamedc/pages/listar-noticias.html HTTP/1.1" 200 2319
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/usuarios/sesion HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/usuarios/sesion HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/noticias/ HTTP/1.1" 200 1367
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/usuarios/8 HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/comentarios/noticia/24 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/usuarios/karma/8 HTTP/1.1" 200 1
0:0:0:0:0:0:0:1 - - [06/May/2016:10:51:48 +0200] "GET /meneamedc/rest/comentarios/noticia/0 HTTP/1.1" 200 811
